start_date,end_date,firm_title,mode,sample_size,primary_lnc,primary_alp,primary_green,primary_onenation,primary_unitedaustralia,primary_other,primary_undecided,tpp_lnc,tpp_alp,tpp_undecided
2001-10-27,2001-10-28,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,0.525,NA
2003-12-06,2003-12-07,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,0.525,NA
2004-05-15,2004-05-16,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,0.525,NA
2006-11-25,2006-12-03,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,0.525,NA
2010-05-29,2010-05-30,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,0.525,NA
2012-12-08,2012-12-16,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475,0.525,NA
1997-10-01,1997-10-09,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.575,0.425,NA
2015-12-05,2015-12-13,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.575,0.425,NA
2001-01-20,2001-01-28,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.54,NA
2003-12-13,2003-12-21,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.54,NA
2004-06-19,2004-06-27,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.54,NA
2004-07-10,2004-07-11,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.54,NA
2015-07-18,2015-07-26,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.54,NA
1998-08-29,1998-08-30,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
1998-09-19,1998-09-20,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2000-11-11,2000-11-19,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2001-08-04,2001-08-12,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2004-01-03,2004-01-11,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2004-02-14,2004-02-22,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2004-02-28,2004-03-07,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2004-03-13,2004-03-21,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2004-08-14,2004-08-22,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2007-10-17,2007-10-18,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2007-11-15,2007-11-17,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2010-02-27,2010-03-07,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2010-07-20,2010-07-21,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
2010-07-24,2010-07-25,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,0.555,NA
1997-12-03,1997-12-11,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515,0.485,NA
